Method,Bucket,Min_FICO,Max_FICO,Borrowers,Defaults,Default_Rate,Risk_Grade
MSE,1,408,520,301,199,0.6611295681063123,BB
MSE,2,521,552,496,229,0.46169354838709675,BBB
MSE,3,553,610,2404,674,0.28036605657237934,A
MSE,4,611,649,2533,416,0.16423213580734308,AA
MSE,5,650,850,4266,333,0.07805907172995781,AAA
Log-Likelihood,1,408,520,301,199,0.6611295681063123,BB
Log-Likelihood,2,521,580,1407,536,0.38095238095238093,BBB
Log-Likelihood,3,581,640,3438,703,0.20447934845840604,A
Log-Likelihood,4,641,696,3197,336,0.10509852987175478,AA
Log-Likelihood,5,697,850,1657,77,0.04646952323476162,AAA
MSE,1,408,520,301,199,0.6611295681063123,CCC
MSE,2,521,552,496,229,0.46169354838709675,B
MSE,3,553,580,911,307,0.33699231613611413,BB
MSE,4,581,611,1561,381,0.24407431133888532,BBB
MSE,5,612,649,2465,402,0.16308316430020284,A
MSE,6,650,696,2609,256,0.09812188577999234,AA
MSE,7,697,850,1657,77,0.04646952323476162,AAA
Log-Likelihood,1,408,520,301,199,0.6611295681063123,CCC
Log-Likelihood,2,521,552,496,229,0.46169354838709675,B
Log-Likelihood,3,553,580,911,307,0.33699231613611413,BB
Log-Likelihood,4,581,611,1561,381,0.24407431133888532,BBB
Log-Likelihood,5,612,649,2465,402,0.16308316430020284,A
Log-Likelihood,6,650,719,3414,307,0.08992384299941418,AA
Log-Likelihood,7,720,850,852,26,0.03051643192488263,AAA
MSE,1,408,502,168,121,0.7202380952380952,D
MSE,2,503,522,159,90,0.5660377358490566,C
MSE,3,523,526,36,9,0.25,BB
MSE,4,527,552,434,208,0.4792626728110599,CC
MSE,5,553,577,792,260,0.3282828282828283,B
MSE,6,578,579,76,34,0.4473684210526316,CCC
MSE,7,580,611,1604,394,0.2456359102244389,BBB
MSE,8,612,649,2465,402,0.16308316430020284,A
MSE,9,650,696,2609,256,0.09812188577999234,AA
MSE,10,697,850,1657,77,0.04646952323476162,AAA
Log-Likelihood,1,408,520,301,199,0.6611295681063123,D
Log-Likelihood,2,521,552,496,229,0.46169354838709675,C
Log-Likelihood,3,553,580,911,307,0.33699231613611413,CCC
Log-Likelihood,4,581,611,1561,381,0.24407431133888532,B
Log-Likelihood,5,612,649,2465,402,0.16308316430020284,BB
Log-Likelihood,6,650,696,2609,256,0.09812188577999234,BBB
Log-Likelihood,7,697,732,1104,64,0.057971014492753624,A
Log-Likelihood,8,733,752,303,5,0.0165016501650165,AAA
Log-Likelihood,9,753,753,8,3,0.375,CC
Log-Likelihood,10,754,850,242,5,0.02066115702479339,AA
